decision_id,decision_group,major_source_rows,delta_source_rows,canonical_name,aliases_to_retain,parent_system,project_family_seed,project_name_seed,project_unit_seed,geometry_rule,component_mode,include_curated,confidence,notes
16,review_case,1216,266,Clear Creek Tunnel | Judge Francis Carr Powerplant Penstocks,Clear Creek Power Conduit; Clear Creek conveyance system,Central Valley Project – Trinity River Division,,,,special,case16_tunnel_penstocks,TRUE,high,"Split connected components; Major tunnel minus penstock overlap, DeltaMAPP penstocks."
17,review_case,1215,285|282,Spring Creek Penstocks | Spring Creek Powerplant Tailrace,Spring Creek Power Conduit; Spring Creek Powerplant system,Central Valley Project – Trinity River Division,,,,special,case17_penstocks_tailrace,TRUE,high,Use separate DeltaMAPP components.
18,review_case,1081|1083,469,Colusa Trough,Colusa Basin Drainage Canal,Glenn-Colusa Irrigation District drainage system,,,,delta,,TRUE,medium,Provisional canonical name; DeltaMAPP is substantially longer.
19,review_case,1015|1021,249,Orland South Canal,South Canal; Stony Creek Irrigation Canal,Orland Project,,,,delta,,TRUE,high,Use DeltaMAPP.
20,review_case,1243,486,San Luis Drain | San Luis Canal,Do not treat the two names as aliases,San Luis-area conveyance network,,,,special,case20_separate,TRUE,high,Major row 1243 is San Luis Drain; Delta row 486 is a separate San Luis Canal.
21,review_case,1068,470,South San Joaquin North Main Canal,South San Joaquin Main Canal; North Main Canal,South San Joaquin Irrigation District system,,,,major,,TRUE,high,Use Major geometry.
22,review_case,1053,446,Lafayette Water Tunnel,Lafayette Tunnel,Mokelumne Aqueduct system,,,,delta,,TRUE,high,Keep Mokelumne Aqueduct as parent system.
23,review_case,1074,336,South San Joaquin Main Canal,Main District Canal,South San Joaquin Irrigation District system,,,,major,,TRUE,high,Use Major geometry.
24,review_case,1306,257,Madera Lateral 24.2,Madera Irrigation District Lateral 24.2,Madera Irrigation District conveyance system,,,,major,,TRUE,high,Use longer Major geometry; Delta supplies name/operator.
25,review_case,121,408,Turlock Main Canal,Main Canal,Turlock Irrigation District system,,,,delta,,TRUE,high,Use DeltaMAPP.
26,review_case,985,465,Main Drainage Canal,Main Drainage Levee Canal,,,,,major,,TRUE,high,Use Major Conveyance.
27,review_case,1093,492,San Diego Aqueduct,San Diego Aqueducts; San Diego Canal,San Diego Aqueduct system,,,,delta,,TRUE,medium,Use DeltaMAPP; retain system-level plural alias.
28,review_case,1116,443,Kern Water Bank Canal,Main Canal,Kern Water Bank conveyance system,,,,delta,,TRUE,high,Use DeltaMAPP.
29,review_case,1071,454,Oakdale South Main Canal,South Main Canal,Oakdale Irrigation District system,,,,major,,TRUE,high,Use Major.
30,review_case,198,407,Old River Pipeline | Los Vaqueros Intake Pipeline,Los Vaqueros water-supply system,Los Vaqueros water-supply system,,,,special,case30_pipeline_split,TRUE,high,Overlapping reach = Old River Pipeline; Delta-only continuation = Los Vaqueros Intake Pipeline.
31,review_case,92,337,Bay Division Pipelines (SFPUC segment; pipeline numbers unresolved),SFPUC Bay Division Pipelines; Hetch Hetchy Regional Water System pipeline,Hetch Hetchy Regional Water System,,,,major,,TRUE,medium,Use slightly longer Major geometry; pipeline numbers remain unresolved.
32,review_case,1087|1085,406|420,Second San Diego Aqueduct,San Diego Aqueducts; Rainbow Creek (geographic/source name only),San Diego County Water Authority aqueduct system,,,,major,,TRUE,high,Use Major Conveyance.
33,review_case,39,496,Kern River Flood Canal,West Side Canal (source name not accepted for this reach),Kern-area flood and conveyance system,,,,major,,TRUE,high,Do not retain DeltaMAPP upstream extension into the Kern River.
34,review_case,1232,351,Gates / Stine Canal,Gates Canal; Stine Canal Extension,Kern County Water Agency Improvement District 1 conveyance system,,,,major_plus_delta_extension,,TRUE,medium,Use Major spine plus useful northeast DeltaMAPP extension.
35,review_case,904|908,415,West Interception Canal | Live Oak Canal,East Interception Canal (source name pending verification); West Interception Canal; Live Oak Canal,Sutter County local conveyance network,,,,omit,case35_split_or_omit,FALSE,low,Omit unresolved short/local pieces from curated pilot; raw source layers retain them.
36,review_case,914,459,East Interception Canal | Sutter Butte Canal,East Interception Canal; Sutter Butte Canal,Sutter County local conveyance network,,,,omit,unresolved,FALSE,low,Unresolved; omit from curated pilot pending split.
37,review_case,38,489,Lerdo Canal | Beardsley Canal,Lerdo Canal; Beardsley Canal,North Kern Water Storage District conveyance system,,,,omit,unresolved,FALSE,low,Unresolved; omit from curated pilot pending split.
38,review_case,51,455,Tulare Irrigation District Canal | Liberty Ditch,Tulare Irrigation District Canal; Liberty Ditch,Tulare Irrigation District conveyance system,,,,omit,unresolved,FALSE,low,Unresolved; omit from curated pilot pending component decision.
A9,auto_cluster,902,483,Glenn-Colusa Irrigation District H-1 Canal,GCID H-1 Canal; H1 Canal,Glenn-Colusa Irrigation District conveyance system,,,,delta,,TRUE,high,Expanded district abbreviation; geometries are effectively identical and DeltaMAPP supplies the operator.
A10,auto_cluster,994,440,Glenn-Colusa Irrigation District Lateral 26-2,GCID Lateral 26-2,Glenn-Colusa Irrigation District conveyance system,,,,delta,,TRUE,high,Same facility and essentially identical geometry; retain the expanded district name.
A11,auto_cluster,901,353,Glenn-Colusa Irrigation District Lateral 26-2A,GCID Lateral 26-2a,Glenn-Colusa Irrigation District conveyance system,,,,delta,,TRUE,high,Same facility and essentially identical geometry.
A12,auto_cluster,911,453,Glenn-Colusa Irrigation District Lateral 62-2A,GCID Lateral 62-2a,Glenn-Colusa Irrigation District conveyance system,,,,delta,,TRUE,high,One of two disconnected/source-segment clusters carrying the same facility name.
A14,auto_cluster,65,373,Westlands Water District Lateral 4-5.5,WWD Lateral 4-5.5,Westlands Water District conveyance system,,,,delta,,TRUE,high,Expanded district abbreviation; geometry is effectively identical.
A15,auto_cluster,1077,263,Ygnacio Loop Canal,Ygnacio Canal; Ygnatio Loop Canal,Reclamation conveyance system; project assignment to be verified,,,,delta,,TRUE,medium,Treat Ygnatio as a source spelling variant and preserve the shorter Ygnacio Canal alias.
A16,auto_cluster,997,488,Glenn-Colusa Irrigation District Lateral 25-1,GCID Lateral 25-1,Glenn-Colusa Irrigation District conveyance system,,,,delta,,TRUE,high,Same facility and essentially identical geometry.
A17,auto_cluster,899,434,Glenn-Colusa Irrigation District Lateral 64-2A,GCID Lateral 64-2a,Glenn-Colusa Irrigation District conveyance system,,,,delta,,TRUE,high,Same facility and essentially identical geometry.
A18,auto_cluster,982,359,Glenn-Colusa Irrigation District Lateral 35-1C,Lateral 35-1c; GCID Lateral 35-1C,Glenn-Colusa Irrigation District conveyance system,,,,delta,,TRUE,high,Expanded district context; geometry is effectively identical.
A21,auto_cluster,55,403,Westlands Water District Lateral 7,WWD Lateral 7,Westlands Water District conveyance system,,,,delta,,TRUE,high,Expanded district abbreviation; geometry is effectively identical.
A22,auto_cluster,1307,259,Madera Lateral 6.2,Madera I.D. Lateral 6-2; Madera Irrigation District Lateral 6.2,Madera Irrigation District conveyance system,,,,major,,TRUE,high,Major is slightly longer while DeltaMAPP supplies the clearer canonical name.
A24,auto_cluster,1096,404,Glenn-Colusa Irrigation District Lateral 62-2A,GCID Lateral 62-2a,Glenn-Colusa Irrigation District conveyance system,,,,delta,,TRUE,high,Second disconnected/source-segment cluster carrying the same facility name.
A26,auto_cluster,62,506,Westlands Water District Lateral 4,WWD Lateral 4,Westlands Water District conveyance system,,,,delta,,TRUE,high,Expanded district abbreviation; DeltaMAPP is slightly longer.
A27,auto_cluster,964,399,Glenn-Colusa Irrigation District Lateral 41-1,GCID Lateral 41-1,Glenn-Colusa Irrigation District conveyance system,,,,major,,TRUE,high,Major is longer; names identify the same facility.
A29,auto_cluster,585|603,490,Natomas Cross Canal,Cross Canal,Natomas conveyance system,,,,all_selected,,TRUE,high,The two Major segments appear to provide the fuller extent of the named Natomas Cross Canal.
A30,auto_cluster,60,466,Westlands Water District Lateral 6,WWD Lateral 6,Westlands Water District conveyance system,,,,delta,,TRUE,high,DeltaMAPP is longer and supplies the expanded district name.
A31,auto_cluster,1308,449,Northside Canal,North Side Canal,Merced Irrigation District conveyance system,,,,major,,TRUE,high,Minor spacing variant; Major is longer.
A32,auto_cluster,905,374,Farmington Lateral,Farington Lateral,,,,,delta,,TRUE,high,Major name appears misspelled; DeltaMAPP is longer.
A33,auto_cluster,950,410,Briggs-West Gridley Irrigation District Jakey Ditch,BWGID Jakey Ditch; Jakey Ditch,Briggs-West Gridley Irrigation District conveyance system,,,,delta,,TRUE,high,Expanded district context and longer geometry.
A35,auto_cluster,1231,419,Levee No. 1 Canal,Levee #1 Canal; Levee Number One Canal,North Kern Water Storage District conveyance system,,,,major,,TRUE,high,Standardize the number style; Major is longer.
A38,auto_cluster,872,356,East Canal,,Sutter-area conveyance system,,,,major,,TRUE,medium,DeltaMAPP supplies the name; Major is slightly longer.
A39,auto_cluster,85,467,Santa Fe Canal,Sante Fe Canal,Grasslands Water District conveyance system,,,,delta,,TRUE,high,Correct the likely spelling variant and retain the Major spelling as an alias.
A42,auto_cluster,881|1305,503,Sutter County Extension Canal,Sutter Co. Extension Canal; Sutter Butte Extension Canal,Sutter Extension Water District conveyance system,,,,delta_plus_major_extension,,TRUE,high,Three naming variants identify one facility; total extents are nearly equal.
A49,auto_cluster,957|966,333,Hunters Creek No. 2 Diversion Canal,Hunters Creek #2 Diversion Canal; Hunters Creek 2 Diversion Canal,Glenn-Colusa Irrigation District conveyance system,,,,delta,,TRUE,high,Standardize number style and preserve the duplicate/source segments.
A53,auto_cluster,962|975,432,Briggs-West Gridley Irrigation District Traynor Lateral,BWGID Traynor Lateral; Traynor Lateral,Briggs-West Gridley Irrigation District conveyance system,,,,delta,,TRUE,high,Expanded district context and fuller DeltaMAPP extent.
A56,auto_cluster,992|995,472,Richvale Irrigation District Butler Canal,Richvale ID Butler Canal,Richvale Irrigation District conveyance system,,,,delta,,TRUE,high,Expanded district name and longer geometry.
A57,auto_cluster,33|35,383,Shafter-Wasco Irrigation District Lateral,Shafter Wasco ID Lateral,Shafter-Wasco Irrigation District conveyance system,,,,delta,,TRUE,medium,"The sources provide only a generic facility name, so preserve that limitation rather than inventing a lateral number."
A59,auto_cluster,4,189|203,California Aqueduct – East Branch,California Aqueduct; East Branch,California Aqueduct / State Water Project,,,,delta,,TRUE,high,Apply the previously approved parent-system/branch rule for canal reaches.
A60,auto_cluster,52,380,Tulare Irrigation District Main Canal,Tulare Canal; Main Canal,Tulare Irrigation District conveyance system,,,,delta,,TRUE,medium,The district-qualified name avoids the ambiguous generic Main Canal; DeltaMAPP is longer.
A61,auto_cluster,1214,218|260|291,Spring Creek Power Conduit components,Spring Creek Power Conduit,Spring Creek Power Conduit system,,,,delta,delta_component_names,TRUE,high,Component names and types are more informative than one generalized duplicate line.
A62,auto_cluster,1,41|47|91|108|145|173,California Aqueduct – East Branch,California Aqueduct; East Branch,California Aqueduct / State Water Project,,,,delta,delta_component_names,TRUE,high,Apply the approved East Branch rule to the multi-component cluster.
A63,auto_cluster,1088,425,San Diego Aqueduct,San Diego Aqueducts,San Diego Aqueduct system,,,,delta,,TRUE,high,Apply the previously approved San Diego naming rule; DeltaMAPP provides the fuller extent.
A64,auto_cluster,7,49|167,California Aqueduct – East Branch,California Aqueduct; East Branch,California Aqueduct / State Water Project,,,,delta,,TRUE,high,Apply the approved East Branch canal rule.
A66,auto_cluster,1018|1019,309,Orland North Canal,North Canal,Orland Project,,,,delta,,TRUE,high,The project-qualified name is clearer and DeltaMAPP is longer.
A68,auto_cluster,1256,102,East Branch Extension,East Branch California Aqueduct Extension,California Aqueduct / State Water Project,,,,delta,,TRUE,high,Same named SWP branch extension; DeltaMAPP is substantially longer.
A69,auto_cluster,1235,494,Pond Poso Canal,Main Canal,Semitropic Water Storage District conveyance system,,,,major,,TRUE,medium,Major supplies the specific facility name and longer extent; the generic Main Canal remains a source alias.
A70,auto_cluster,6,160,California Aqueduct – East Branch,California Aqueduct; East Branch,California Aqueduct / State Water Project,,,,delta,,TRUE,high,Apply the approved East Branch canal rule.
A72,auto_cluster,5,132,California Aqueduct – East Branch,California Aqueduct; East Branch,California Aqueduct / State Water Project,,,,delta,,TRUE,high,Apply the approved East Branch canal rule.
A75,auto_cluster,1112,51,Coastal Branch Aqueduct,Coastal Branch,California Aqueduct / State Water Project,,,,major_plus_delta_extension,,TRUE,high,Major provides the much fuller aqueduct extent; DeltaMAPP identifies a pipeline segment.
A76,auto_cluster,977|989,390,Briggs-West Gridley Irrigation District Belding Lateral,BWGID Belding Lateral; Belding Lateral,Briggs-West Gridley Irrigation District conveyance system,,,,delta,,TRUE,high,Expanded district context and longer DeltaMAPP extent.
A77,auto_cluster,29|32,456,Semitropic Canal,,Semitropic-area conveyance system,,,,delta_plus_major_extension,,TRUE,medium,DeltaMAPP supplies the only usable facility name and the longer extent.
A80,auto_cluster,118,402,Turlock Main Canal,Main Canal,Turlock Irrigation District conveyance system,,,,delta,,TRUE,high,Apply the user's earlier Turlock Main Canal decision to this additional reach.
A81,auto_cluster,3,65,California Aqueduct – East Branch,California Aqueduct; East Branch,California Aqueduct / State Water Project,,,,delta,,TRUE,high,Apply the approved East Branch canal rule.
A82,auto_cluster,1192,347,Casa Loma Canal,,San Diego County Water Authority conveyance system,,,,major,,TRUE,medium,Major is longer while DeltaMAPP supplies the specific name.
A84,auto_cluster,44,474,Pond Poso Canal,Main Canal; source placeholder ??Pipeline??,Semitropic Water Storage District conveyance system,,,,delta,,TRUE,medium,The Major label is an obvious placeholder; DeltaMAPP supplies the facility name and fuller reach.
A85,auto_cluster,1084,146,West Branch California Aqueduct,California Aqueduct – West Branch; West Branch,California Aqueduct / State Water Project,,,,major_plus_delta_extension,,TRUE,high,The Major line provides the much fuller branch extent while DeltaMAPP supplies a typed pipeline segment.
