relationship_id,nlcs_id,relationship_type,related_brim_layer_family,related_feature_identifier,related_feature_name,source_or_spatial_derivation_method,evidence_title,evidence_url,verification_date,confidence,brim_should_calculate_from_current_local_data,normal_popup_suitable,notes
REL-NLCS002012-CDCA,NLCS002012,legal_or_programmatic_relationship,CDCA,,California Desert Conservation Area,statutory/programmatic,43 U.S.C. 1781,https://www.govinfo.gov/content/pkg/USCODE-2024-title43/html/USCODE-2024-title43-chap35-subchapVI-sec1781.htm,2026-08-04,high,false,true,BLM planning authority concerns public lands; other agencies retain jurisdiction over their lands.
REL-NLCS002012-DRECP,NLCS002012,source_document_relationship,DRECP,,DRECP existing-NLCS-component context,DRECP text lists Desert Lily Sanctuary as an existing NLCS component,DRECP LUPA,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,2026-08-04,medium,false,true,No DRECP ecoregion-subarea name match. Same-area official names use “Preserve” (ACEC) and “Sanctuary” (statute).
REL-NLCS002012-SPATIAL-NATIONAL-MONUMENTS,NLCS002012,spatial_overlap_to_be_derived_in_brim,National Monuments,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002012-SPATIAL-FEDERAL-WILDERNESS,NLCS002012,spatial_overlap_to_be_derived_in_brim,Federal Wilderness,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002012-SPATIAL-WILDERNESS-STUDY-AREAS,NLCS002012,spatial_overlap_to_be_derived_in_brim,Wilderness Study Areas,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002012-SPATIAL-ACECS,NLCS002012,spatial_overlap_to_be_derived_in_brim,ACECs,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002012-SPATIAL-NATIONAL-SCENIC-AND-HISTORIC-TRAILS,NLCS002012,spatial_overlap_to_be_derived_in_brim,National Scenic and Historic Trails,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002012-SPATIAL-WILD-AND-SCENIC-RIVERS,NLCS002012,spatial_overlap_to_be_derived_in_brim,Wild and Scenic Rivers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002012-SPATIAL-OTHER-LOCAL-REFERENCE-LAYERS,NLCS002012,spatial_overlap_to_be_derived_in_brim,Other Local Reference layers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002012-ACEC-NAME,NLCS002012,name_relationship,ACECs,34086,Desert Lily Preserve,official BLM ACEC inventory name and acreage; exact geometry overlap not executed,BLM National ACEC inventory spreadsheet,https://www.blm.gov/sites/blm.gov/files/planningandnepa_aceclist.xlsx,2026-08-04,medium,true,true_with_caution,Same name and similar mapped area do not by themselves establish coterminous legal identity.
REL-NLCS002012-SANCTUARY,NLCS002012,possible_relationship_requiring_review,Other statutory conservation designations,Public Law 103-433 section 107,Desert Lily Sanctuary,"statutory name and approximately 2,040 acres; compare the controlling 1986 map to current source geometry",43 U.S.C. 1781 statutory note / Public Law 103-433,https://www.govinfo.gov/content/pkg/USCODE-2024-title43/html/USCODE-2024-title43-chap35-subchapVI-sec1781.htm,2026-08-04,medium,false,true_with_unresolved_equivalence,Do not rename the raw source record or merge the statutory and ACEC records without map review.
REL-NLCS002013-NCLS,NLCS002013,legal_or_programmatic_relationship,National Conservation Lands system,,National Landscape Conservation System / National Conservation Lands,statutory/programmatic,16 U.S.C. 7202,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title16-section7202,2026-08-04,high,false,true,System relationship does not establish a uniform individual designation class.
REL-NLCS002013-CDCA,NLCS002013,legal_or_programmatic_relationship,CDCA,,California Desert Conservation Area,statutory/programmatic,43 U.S.C. 1781,https://www.govinfo.gov/content/pkg/USCODE-2024-title43/html/USCODE-2024-title43-chap35-subchapVI-sec1781.htm,2026-08-04,high,false,true,BLM planning authority concerns public lands; other agencies retain jurisdiction over their lands.
REL-NLCS002013-DRECP,NLCS002013,source_document_relationship,DRECP,,DRECP ecoregion subarea Kingston-Amargosa,exact_or_reviewed_name_crosswalk_to_DRECP_LUPA,DRECP LUPA,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,2026-08-04,high,false,true,Reviewed punctuation-only match: source spaced hyphen; DRECP closed hyphen.
REL-NLCS002013-SPATIAL-NATIONAL-MONUMENTS,NLCS002013,spatial_overlap_to_be_derived_in_brim,National Monuments,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002013-SPATIAL-FEDERAL-WILDERNESS,NLCS002013,spatial_overlap_to_be_derived_in_brim,Federal Wilderness,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002013-SPATIAL-WILDERNESS-STUDY-AREAS,NLCS002013,spatial_overlap_to_be_derived_in_brim,Wilderness Study Areas,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002013-SPATIAL-ACECS,NLCS002013,spatial_overlap_to_be_derived_in_brim,ACECs,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002013-SPATIAL-NATIONAL-SCENIC-AND-HISTORIC-TRAILS,NLCS002013,spatial_overlap_to_be_derived_in_brim,National Scenic and Historic Trails,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002013-SPATIAL-WILD-AND-SCENIC-RIVERS,NLCS002013,spatial_overlap_to_be_derived_in_brim,Wild and Scenic Rivers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002013-SPATIAL-OTHER-LOCAL-REFERENCE-LAYERS,NLCS002013,spatial_overlap_to_be_derived_in_brim,Other Local Reference layers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002014-NCLS,NLCS002014,legal_or_programmatic_relationship,National Conservation Lands system,,National Landscape Conservation System / National Conservation Lands,statutory/programmatic,16 U.S.C. 7202,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title16-section7202,2026-08-04,high,false,true,System relationship does not establish a uniform individual designation class.
REL-NLCS002014-CDCA,NLCS002014,legal_or_programmatic_relationship,CDCA,,California Desert Conservation Area,statutory/programmatic,43 U.S.C. 1781,https://www.govinfo.gov/content/pkg/USCODE-2024-title43/html/USCODE-2024-title43-chap35-subchapVI-sec1781.htm,2026-08-04,high,false,true,BLM planning authority concerns public lands; other agencies retain jurisdiction over their lands.
REL-NLCS002014-DRECP,NLCS002014,source_document_relationship,DRECP,,DRECP ecoregion subarea Lake Cahuilla,exact_or_reviewed_name_crosswalk_to_DRECP_LUPA,DRECP LUPA,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,2026-08-04,high,false,true,Exact name match.
REL-NLCS002014-SPATIAL-NATIONAL-MONUMENTS,NLCS002014,spatial_overlap_to_be_derived_in_brim,National Monuments,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002014-SPATIAL-FEDERAL-WILDERNESS,NLCS002014,spatial_overlap_to_be_derived_in_brim,Federal Wilderness,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002014-SPATIAL-WILDERNESS-STUDY-AREAS,NLCS002014,spatial_overlap_to_be_derived_in_brim,Wilderness Study Areas,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002014-SPATIAL-ACECS,NLCS002014,spatial_overlap_to_be_derived_in_brim,ACECs,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002014-SPATIAL-NATIONAL-SCENIC-AND-HISTORIC-TRAILS,NLCS002014,spatial_overlap_to_be_derived_in_brim,National Scenic and Historic Trails,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002014-SPATIAL-WILD-AND-SCENIC-RIVERS,NLCS002014,spatial_overlap_to_be_derived_in_brim,Wild and Scenic Rivers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002014-SPATIAL-OTHER-LOCAL-REFERENCE-LAYERS,NLCS002014,spatial_overlap_to_be_derived_in_brim,Other Local Reference layers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002015-NCLS,NLCS002015,legal_or_programmatic_relationship,National Conservation Lands system,,National Landscape Conservation System / National Conservation Lands,statutory/programmatic,16 U.S.C. 7202,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title16-section7202,2026-08-04,high,false,true,System relationship does not establish a uniform individual designation class.
REL-NLCS002015-CDCA,NLCS002015,legal_or_programmatic_relationship,CDCA,,California Desert Conservation Area,statutory/programmatic,43 U.S.C. 1781,https://www.govinfo.gov/content/pkg/USCODE-2024-title43/html/USCODE-2024-title43-chap35-subchapVI-sec1781.htm,2026-08-04,high,false,true,BLM planning authority concerns public lands; other agencies retain jurisdiction over their lands.
REL-NLCS002015-DRECP,NLCS002015,source_document_relationship,DRECP,,DRECP ecoregion subarea Mojave and Silurian Valley,exact_or_reviewed_name_crosswalk_to_DRECP_LUPA,DRECP LUPA,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,2026-08-04,high,false,true,Exact name match.
REL-NLCS002015-SPATIAL-NATIONAL-MONUMENTS,NLCS002015,spatial_overlap_to_be_derived_in_brim,National Monuments,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002015-SPATIAL-FEDERAL-WILDERNESS,NLCS002015,spatial_overlap_to_be_derived_in_brim,Federal Wilderness,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002015-SPATIAL-WILDERNESS-STUDY-AREAS,NLCS002015,spatial_overlap_to_be_derived_in_brim,Wilderness Study Areas,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002015-SPATIAL-ACECS,NLCS002015,spatial_overlap_to_be_derived_in_brim,ACECs,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002015-SPATIAL-NATIONAL-SCENIC-AND-HISTORIC-TRAILS,NLCS002015,spatial_overlap_to_be_derived_in_brim,National Scenic and Historic Trails,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002015-SPATIAL-WILD-AND-SCENIC-RIVERS,NLCS002015,spatial_overlap_to_be_derived_in_brim,Wild and Scenic Rivers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002015-SPATIAL-OTHER-LOCAL-REFERENCE-LAYERS,NLCS002015,spatial_overlap_to_be_derived_in_brim,Other Local Reference layers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002016-NCLS,NLCS002016,legal_or_programmatic_relationship,National Conservation Lands system,,National Landscape Conservation System / National Conservation Lands,statutory/programmatic,16 U.S.C. 7202,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title16-section7202,2026-08-04,high,false,true,System relationship does not establish a uniform individual designation class.
REL-NLCS002016-CDCA,NLCS002016,legal_or_programmatic_relationship,CDCA,,California Desert Conservation Area,statutory/programmatic,43 U.S.C. 1781,https://www.govinfo.gov/content/pkg/USCODE-2024-title43/html/USCODE-2024-title43-chap35-subchapVI-sec1781.htm,2026-08-04,high,false,true,BLM planning authority concerns public lands; other agencies retain jurisdiction over their lands.
REL-NLCS002016-DRECP,NLCS002016,source_document_relationship,DRECP,,"DRECP ecoregion subarea Pinto, Lucerne Valley, and Eastern Slopes",exact_or_reviewed_name_crosswalk_to_DRECP_LUPA,DRECP LUPA,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,2026-08-04,high,false,true,Reviewed punctuation match; DRECP includes commas and separates Pinto from Lucerne Valley.
REL-NLCS002016-SPATIAL-NATIONAL-MONUMENTS,NLCS002016,spatial_overlap_to_be_derived_in_brim,National Monuments,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002016-SPATIAL-FEDERAL-WILDERNESS,NLCS002016,spatial_overlap_to_be_derived_in_brim,Federal Wilderness,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002016-SPATIAL-WILDERNESS-STUDY-AREAS,NLCS002016,spatial_overlap_to_be_derived_in_brim,Wilderness Study Areas,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
