"source_nlcs_id","field_name","override_value","reason","evidence_url","review_status","last_verified"
"NLCS000282","indigenous_context","The BLM–NPS administrative strategy states that the route network included prehistoric Indigenous paths and that commercial traffic intensified irreversible changes to the livelihoods of American Indian tribes along the routes; it also documents captivity and enslavement within the trail economy.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://parkplanning.nps.gov/showFile.cfm?projectID=12591&sfid=317742","human_verified","2026-08-05"
"NLCS000282","blm_role_summary","BLM is a joint trail-wide administering agency with NPS. Joint administration does not imply that every mapped segment is jointly managed; local land management still follows jurisdiction and ownership.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://parkplanning.nps.gov/Final-OLSP-CAS","human_verified","2026-08-04"
"NLCS000283","trail_status","A historic corridor with a marked auto route, interpreted sites, and developed or certified recreational retracement segments; a continuous recreation trail remains an aspiration rather than a universal present condition.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.nps.gov/juba/","human_verified","2026-08-04"
"NLCS000283","route_representation","Historic expedition corridor, modern auto route that approximates the expedition, independently managed sites, and walking, bicycling, and equestrian retracement segments that may not occupy the exact historic trace.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.nps.gov/juba/planyourvisit/maps.htm","human_verified","2026-08-04"
"NLCS000283","indigenous_context","NPS describes the expedition route as a network of Indigenous pathways used for millennia; it also states that Spanish colonization harmed Tribal communities, whose traditions continue today.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.nps.gov/juba/getinvolved/upload/JUBA_FD_508_2023-0329.pdf","human_verified","2026-08-05"
"NLCS000283","blm_role_summary","BLM documents trail portions on BLM-managed lands in Arizona and California. BLM's role is limited to those lands and is not trail-wide administration.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.nps.gov/juba/getinvolved/upload/JUBA_FD_508_2023-0329.pdf","human_verified","2026-08-04"
"NLCS000284","trail_status","A substantially continuous long-distance scenic trail, subject to official relocations, temporary closures, fire and storm damage, snow, permits, and land-manager-specific restrictions.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.fs.usda.gov/trails/pacific-crest-nst","human_verified","2026-08-04"
"NLCS000284","route_representation","Maintained long-distance trail centerline and official relocations. Even here, the GIS line is a reference representation rather than a survey, legal boundary, or guarantee of current passability.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.fs.usda.gov/trails/pacific-crest-nst/maps-publications","human_verified","2026-08-04"
"NLCS000284","indigenous_context","The Forest Service foundation document states that the trail traverses ancestral homelands of more than 80 American Indian tribes and follows Tribal trade and travel paths; those communities maintain continuing bonds with these places.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.fs.usda.gov/media/250720","human_verified","2026-08-05"
"NLCS000284","blm_role_summary","BLM manages portions of the PCT where it crosses BLM-administered lands; current Forest Service materials identify seven BLM field offices along the trail. BLM is not the trail-wide administering agency.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.fs.usda.gov/trails/pacific-crest-nst/land-resources","human_verified","2026-08-04"
"NLCS000285","trail_status","A newly designated national historic trail represented by historic route corridors, surviving traces, structures, landmarks, roads, and interpreted sites; not a continuous traditional trail.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.nps.gov/buov/","human_verified","2026-08-04"
"NLCS000285","route_representation","Approximately 3,292 miles following the Ox-Bow Route as generally depicted on the 15 study maps incorporated by the designation law. The GIS and interactive map are reference representations and do not imply access or an exact surviving trace.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.nps.gov/buov/planyourvisit/maps.htm","human_verified","2026-08-04"
"NLCS000285","indigenous_context","The NPS special-resource study identifies tribes that currently or traditionally resided along or near the studied route and documents consultation with 49 tribes during the study.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://parkplanning.nps.gov/showFile.cfm?projectID=33568&sfid=330567","human_verified","2026-08-05"
"NLCS000285","blm_role_summary","The BLM California feature service establishes data stewardship and source context, not a segment-specific management assignment. A trail-specific BLM land-management role for the BRIM Butterfield feature was not verified and is intentionally left unknown pending direct segment evidence.","Curated trail-wide explanatory language prevents source geometry, route representation, access, administration, and local management from being conflated.","https://www.nps.gov/buov/getinvolved/planning.htm","human_verified","2026-08-04"
