monument_id,component_key,component_name,component_type,agency,managing_unit,source_identifier,relationship_to_monument,notes,verification_date
nm_ca_cesar_e_chavez,nps,César E. Chávez NPS-administered footprint,agency management component,NPS,César E. Chávez National Monument,CECH,constituent/management component,NPS directly manages about 2.8 acres; other lands within the monument/NHL context are privately owned by National Chavez Center.,2026-08-09
nm_ca_chuckwalla,blm,Chuckwalla BLM public lands,agency management component,BLM,Palm Springs-South Coast Field Office,NLCS000321,constituent/management component,,2026-08-09
nm_ca_devils_postpile,nps,Devils Postpile NPS unit,agency management component,NPS,Devils Postpile National Monument,DEPO,constituent/management component,,2026-08-09
nm_ca_fort_ord,blm,Fort Ord BLM unit,agency management component,BLM,Central Coast Field Office,NLCS000315,constituent/management component,,2026-08-09
nm_ca_giant_sequoia,usfs,Giant Sequoia Forest Service unit,agency management component,USFS,Sequoia National Forest,AREANAME=Giant Sequoia,constituent/management component,,2026-08-09
nm_ca_lava_beds,nps,Lava Beds NPS unit,agency management component,NPS,Lava Beds National Monument,LABE,constituent/management component,,2026-08-09
nm_ca_mojave_trails,blm,Mojave Trails BLM unit,agency management component,BLM,Needles Field Office,NLCS000320,constituent/management component,,2026-08-09
nm_ca_muir_woods,nps,Muir Woods NPS unit,agency management component,NPS,Golden Gate National Recreation Area administration,MUWO,constituent/management component,,2026-08-09
nm_ca_san_gabriel_mountains,usfs,San Gabriel Mountains Forest Service unit,agency management component,USFS,Angeles National Forest,AREANAME=San Gabriel Mountains,constituent/management component,,2026-08-09
nm_ca_sand_to_snow,blm_ps,BLM Palm Springs-South Coast component,agency management component,BLM,Palm Springs-South Coast Field Office,NLCS002020,constituent/management component,,2026-08-09
nm_ca_sand_to_snow,blm_barstow,BLM Barstow context/component,agency management context,BLM,Barstow Field Office,NLCS002020,constituent/management component,Local office context should be verified against current authoritative source geometry before production assignment.,2026-08-09
nm_ca_sand_to_snow,usfs,Forest Service component,agency management component,USFS,San Bernardino National Forest,AREANAME=Sand to Snow,constituent/management component,,2026-08-09
nm_ca_sattitla_highlands,modoc,Modoc National Forest component,agency management component,USFS,Modoc National Forest,AREANAME=Sáttítla Highlands,constituent/management component,,2026-08-09
nm_ca_sattitla_highlands,shasta_trinity,Shasta-Trinity National Forest component,agency management component,USFS,Shasta-Trinity National Forest,AREANAME=Sáttítla Highlands,constituent/management component,,2026-08-09
nm_ca_sattitla_highlands,klamath,Klamath National Forest component,agency management component,USFS,Klamath National Forest,AREANAME=Sáttítla Highlands,constituent/management component,,2026-08-09
nm_ca_saint_francis_dam_disaster,usfs,Saint Francis Dam Disaster Forest Service unit,agency management component,USFS,Angeles National Forest,AREANAME=Saint Francis Dam Disaster,constituent/management component,,2026-08-09
nm_ca_santa_rosa_san_jacinto,blm,BLM component,agency management component,BLM,Palm Springs-South Coast Field Office,NLCS000314,constituent/management component,,2026-08-09
nm_ca_santa_rosa_san_jacinto,usfs,Forest Service component,agency management component,USFS,San Bernardino National Forest — San Jacinto Ranger District,AREANAME=Santa Rosa and San Jacinto Mountains,constituent/management component,,2026-08-09
nm_ca_tule_lake,segregation_center,Tule Lake Segregation Center,named constituent and agency geometry component,NPS,Tule Lake National Monument,nps_current:OBJECTID=2145;UNIT_CODE=TULE;GlobalID=c7a22b4d-edb4-4afd-8c16-e48df7dad7b3,constituent/management component,Authoritative NPS LRD geometry is the approximately 37-acre NPS-administered Segregation Center component; it is not the complete monument.,2026-08-10
nm_ca_tule_lake,peninsula_castle_rock,The Peninsula / Castle Rock,named constituent within agency geometry component,USFWS,Tule Lake National Wildlife Refuge,fws_tule_lake:OBJECTID=135;GlobalID_2=bd04754c-21fd-4e14-bcca-72d1d63a563f;part=1,constituent/management component,Large part of the authoritative USFWS National Monument special-designation multipolygon; approximately 1277 GIS acres and consistent with the official planning extent.,2026-08-10
nm_ca_tule_lake,camp_tulelake,Camp Tulelake,named constituent within agency geometry component,USFWS,Tule Lake National Wildlife Refuge,fws_tule_lake:OBJECTID=135;GlobalID_2=bd04754c-21fd-4e14-bcca-72d1d63a563f;part=2,constituent/management component,Small part of the authoritative USFWS National Monument special-designation multipolygon; approximately 67 GIS acres and consistent with the official planning extent.,2026-08-10
