id,title,provider,theme,desire,strength,custom,ease,linkOnly,likelyPanel,uiTier,serviceRootUrl,layerIds,exactLayerUrls,landingPage,secondaryUrl,serviceTypeGuess,sourceStatus,geometryGuess,currentTake,firstAuditTask,batch
WPC_WSSI,WPC Winter Storm Severity Index,NOAA / NWS / WPC,Snow impacts / winter forecast,3.5,4.5,4,4,No,Forecasts / Snow Impacts,B,https://mapservices.weather.noaa.gov/vector/rest/services/outlooks/wpc_wssi/MapServer,Audit all,,https://www.wpc.ncep.noaa.gov/wwd/wssi/wssi.php,https://mapservices.weather.noaa.gov/vector/rest/services/outlooks/wpc_wssi/MapServer?f=pjson,ArcGIS MapServer vector/raster unknown; audit,Known service lead,Polygon/raster categories,Impact framing is decision-friendly; useful but seasonal.,"Inspect layer IDs, category values, legend, and day/time sublayers.",Batch 3
CPC_HAZARDS,CPC Day 8–14 hazards / rapid-onset drought / week-2 hazards,NOAA / NWS / CPC,Climate hazards / drought / heat / wind,4,4,3.5,3.5,No/Maybe,Forecasts / Drought / Hazards,B,,,,https://www.cpc.ncep.noaa.gov/products/predictions/threats/threats.php,https://www.drought.gov/forecasts,Unknown; likely GIS download/feed or web product,Needs service/data-path audit,Polygon/raster unknown,"Good compact NOAA next-week risk layer, especially heat, wind, snow, and rapid-onset drought.",Resolve ArcGIS/GeoJSON/shapefile feed and category mapping if available.,Batch 3
CPC_WEEK34,CPC Week 3–4 outlooks,NOAA / NWS / CPC,Climate outlook,3.5,4,3,3.5,Maybe,Climate Outlooks,B/C,,,,https://www.cpc.ncep.noaa.gov/products/predictions/WK34/,https://www.cpc.ncep.noaa.gov/,Unknown,Needs service/data-path audit,Raster/polygon outlook,"Useful planning context, but compact only.",Find GIS-ready service/download if available and compare to existing CPC layers in BRIM.,Batch 3
CPC_MONTH_SEASON,CPC monthly / seasonal outlooks,NOAA / NWS / CPC,Climate outlook,3,4,3,3.5,Maybe,Climate Outlooks,C,,,,https://www.cpc.ncep.noaa.gov/products/predictions/long_range/,https://www.climate.gov/maps-data/dataset/temperature-precipitation-and-drought-outlooks-prepared-maps,Unknown,Needs service/data-path audit,Raster/polygon outlook,"Good background context, not main real estate.",Find best GIS-ready source and decide map-layer vs link-only.,Batch 3
NWM_SOIL_MOISTURE,NOAA National Water Model Land Analysis near-surface soil moisture saturation,NOAA / NWS / Office of Water Prediction,Soil moisture / current wetness,4,4.5,3.5,5,No,Ops Live / Soil Moisture,A/B,https://mapservices.weather.noaa.gov/raster/rest/services/obs/NWM_Land_Analysis/MapServer,"Audit 0,3 and all named soil moisture layers",https://mapservices.weather.noaa.gov/raster/rest/services/obs/NWM_Land_Analysis/MapServer/0 ; https://mapservices.weather.noaa.gov/raster/rest/services/obs/NWM_Land_Analysis/MapServer/3,https://water.noaa.gov/about/nwm,https://mapservices.weather.noaa.gov/raster/rest/services/obs/NWM_Land_Analysis/MapServer?f=pjson,ArcGIS MapServer raster,Known service lead,Raster,Easiest soil-moisture add; good first pass despite lower interpretability than percentiles.,"Confirm correct layer ID, units, legend, exportImage parameters, and update timestamp metadata.",Batch 1
SPORT_LIS,NASA SPoRT-LIS soil moisture percentiles,NASA SPoRT / Drought.gov,Soil moisture / drought / fire / watershed,4.5,4.5,3.5,3.5,No/Maybe,Drought / Soil Moisture,A/B,,,,https://www.drought.gov/topics/soil-moisture,https://weather.msfc.nasa.gov/sport/case_studies/lis_CONUS.html,Raster/GIS download or service TBD,Needs service/data-path audit,Raster,Best soil-moisture meaning because percentiles/anomalies beat raw saturation for decisions.,Find actual current SPoRT-LIS data/service endpoint and identify shallow/root-zone percentile layers.,Batch 2
CPC_NLDAS_SOIL,CPC NLDAS Noah soil moisture percentiles,NOAA / CPC / Drought.gov,Soil moisture / drought,3.5,4,3.5,3.5,No/Maybe,Drought / Soil Moisture,B,,,,https://www.drought.gov/indicators/soil-moisture-product-dashboard/data,https://www.cpc.ncep.noaa.gov/products/Soilmst_Monitoring/,GeoTIFF/derived data or service TBD,Needs service/data-path audit,Raster,Good interpretable NOAA/CPC backup.,Find GIS-ready endpoint/download and compare redundancy with SPoRT-LIS and NWM.,Batch 3
CROP_CASMA,Crop-CASMA soil moisture anomaly,USDA NASS / NASA / Drought.gov,Soil moisture / ag drought / anomaly,3.5,4,3,3,Maybe,Soil Moisture / Ag Drought,B/C,,,,https://www.drought.gov/indicators/soil-moisture-product-dashboard/data,https://nassgeo.csiss.gmu.edu/CropCASMA/,GeoTIFF/web app/API TBD,Needs service/data-path audit,Raster,"Anomaly is useful, but behind SPoRT/NWM/CPC for BRIM priority.",Check if current anomaly raster is available in a BRIM-friendly endpoint.,Batch 3
SMAP_GRACE,SMAP / GRACE broad soil moisture products,NASA / Drought.gov,Broad drought / remote sensing,2.5,4,2.5,2.5,Maybe,Drought Explore,C,,,,https://www.drought.gov/indicators/soil-moisture-product-dashboard/data,https://grace.jpl.nasa.gov/data/get-data/,Raster/download/API TBD,Source pool only unless easy endpoint found,Raster,"Scientifically useful, but probably too coarse for first-round BRIM.",Only audit after higher-priority soil moisture/vegetation products.,Batch 3
BETTER_WIND_OBS,Better wind — NOAA surface observations / MADIS wind barbs,NOAA / NWS / MADIS,Wind observations,4,4,3.5,4,No,Obs / Wind,A,https://mapservices.weather.noaa.gov/vector/rest/services/obs/surface_obs/MapServer,Audit wind barb / station sublayers,,https://madis.ncep.noaa.gov/,https://mapservices.weather.noaa.gov/vector/rest/services/obs/surface_obs/MapServer?f=pjson,ArcGIS MapServer vector,Known service lead,Point/barbs,Best near-term fix for weak sparse wind layer.,"Identify wind-specific sublayers, fields, scales, symbology options, and whether custom symbolization is possible.",Batch 1
NDFD_WIND,NDFD / gridded forecast wind,NOAA / NWS / NDFD,Wind forecast,4,4,3.5,3.5,No/Maybe,Forecasts / Wind,A/B,,,,https://digital.weather.gov/,https://digital.weather.gov/staticpages/mapservices.php,WMS/ArcGIS/other service TBD,Needs service audit,Raster/grid,Probably more useful than more station points if implemented cleanly.,"Resolve best forecast wind endpoint, layer names, valid-time controls, and legend.",Batch 2
QUICKDRI,QuickDRI,NDMC / Drought.gov,Flash drought / recent drydown,4,4,3.5,3.5,No/Maybe,Drought / Vegetation Stress,A/B,,,,https://www.drought.gov/data-maps-tools/quick-drought-response-index-quickdri,https://quickdri.unl.edu/,Raster/download/service TBD,Needs service/data-path audit,Raster,Strongest recent drydown / flash drought vegetation-drought layer.,Find GIS endpoint/download and determine tiles/raster overlay feasibility.,Batch 2
VEGDRI,VegDRI,NDMC / Drought.gov,Vegetation drought stress / rangeland,4,4,3.5,3,No/Maybe,Drought / Vegetation Stress,A/B,,,,https://vegdri.unl.edu/,https://www.drought.gov/topics/vegetation,Raster/download/service TBD,Needs service/data-path audit,Raster,Better than raw NDVI because drought stress is already interpreted.,"Find GIS endpoint/download, category legend, and current update cadence.",Batch 2
NOAA_STAR_VHI,NOAA STAR VHI / VCI / TCI vegetation health,NOAA STAR / Drought.gov,Vegetation stress / drought / fire risk,3.5,4,3,3,No/Maybe,Drought / Vegetation,B,,,,https://www.drought.gov/data-maps-tools/noaa-star-global-vegetation-health-products,https://www.star.nesdis.noaa.gov/smcd/emb/vci/VH/index.php,GeoTIFF/NetCDF/images/service TBD,Needs service/data-path audit,Raster,Interpreted vegetation-health family; better than raw greenness.,Identify VHI/VCI/TCI data formats and whether web tiles or static preprocessing are best.,Batch 3
NOAA_STAR_NDVI,NOAA STAR NDVI / greenness products,NOAA STAR / Drought.gov,Raw greenness / vegetation context,3,3.5,2.5,3,Maybe,Vegetation Explore,C/B,,,,https://www.drought.gov/data-maps-tools/ndvi-greenness-maps,https://www.star.nesdis.noaa.gov/smcd/emb/vci/VH/index.php,GeoTIFF/KML/images/service TBD,Needs service/data-path audit,Raster,"Keep, but raw greenness needs anomaly/context to be decision-useful.",Check whether anomaly/percentile-style products are available from same source.,Batch 3
NASA_GIBS_NDVI,NASA GIBS MODIS/VIIRS NDVI-style imagery,NASA EOSDIS GIBS,Satellite / vegetation imagery,3,4,3,3.5,Maybe,Satellite / Vegetation Explore,C,https://gibs.earthdata.nasa.gov/wmts/epsg3857/best/wmts.cgi,Audit NDVI/vegetation layer names,,https://www.earthdata.nasa.gov/engage/open-data-services-software/earthdata-developer-portal/gibs-api,https://gibs.earthdata.nasa.gov/,WMTS/WMS,Known service family; layer names TBD,Raster tiles,Technically promising web imagery but should stay explore-tier unless date/legend is clean.,"Fetch WMTS capabilities, identify NDVI/vegetation layers, time dimension, and Leaflet syntax.",Batch 3
RAILROADS,Railroads,FRA / BTS / NTAD / Esri service lead,ROW / infrastructure,4,4,3.5,4,No,ROW / Infrastructure,B,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/USA_Railroads/FeatureServer,Audit all/0,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/USA_Railroads/FeatureServer/0,https://railroads.dot.gov/rail-network-development/maps-and-data/maps-geographic-information-system/maps-geographic,,ArcGIS FeatureServer,Service lead; authority/stability audit needed,Line,Good compact ROW/context layer.,"Verify service source, date, fields, query support, and CA extent performance.",Batch 2
HIGHWAYS_NHS,Major highways / National Highway System,Caltrans,ROW / access / infrastructure,4,4.5,4,4,No,ROW / Access / Infrastructure,A/B,https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/National_Highway_System/FeatureServer,Audit all/0,,https://gisdata-caltrans.opendata.arcgis.com/,https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/National_Highway_System/FeatureServer?f=pjson,ArcGIS FeatureServer,Known service lead,Line,Cleaner than all-roads and useful for ROW/access screening.,"Inspect layer IDs/fields, scale visibility, and whether functional class alternatives are needed.",Batch 1
TRANSMISSION_LINES,Electric transmission lines,HIFLD / EIA / state source TBD,ROW / energy / fire / infrastructure,4,3.5,3.5,3.5,No/Maybe,ROW / Energy / Fire,B,,,,https://hifld-geoplatform.opendata.arcgis.com/,https://www.eia.gov/maps/layer_info-m.php,FeatureServer/download TBD,Needs authority/stability audit,Line,"High relevance, but vet source before trusting in BRIM.","Compare HIFLD, EIA, CEC, and authoritative CA transmission services; choose best public endpoint.",Batch 2
SUBSTATIONS,Electric substations,HIFLD / EIA / state source TBD,Infrastructure / energy,3.5,3.5,3,3.5,Maybe,Infrastructure / Energy Explore,C/B,,,,https://hifld-geoplatform.opendata.arcgis.com/,https://www.eia.gov/maps/layer_info-m.php,FeatureServer/download TBD,Needs source authority audit,Point,Useful but compact/explore treatment is safer.,Determine whether public display is appropriate and whether fields are useful.,Batch 3
CALGEM_WELLS,"CalGEM oil/gas/geothermal wells, fields, leases, notices, permits",California DOC / CalGEM,Energy / water quality / legacy infrastructure,4.5,4.5,4,4,No,Energy / Water Quality / Infrastructure,A/B,https://gis.conservation.ca.gov/server/rest/services/WellSTAR/Notices/MapServer,"Audit 0,1,3,5,6,7 and find well-status/fields/leases services",https://gis.conservation.ca.gov/server/rest/services/WellSTAR/Notices/MapServer/0 ; https://gis.conservation.ca.gov/server/rest/services/WellSTAR/Notices/MapServer/1 ; https://gis.conservation.ca.gov/server/rest/services/WellSTAR/Notices/MapServer/3,https://maps.conservation.ca.gov/doggr/,https://gis.conservation.ca.gov/server/rest/services/WellSTAR/Notices/MapServer?f=pjson,ArcGIS MapServer,"Known service lead, but full well services need audit",Point/polygon,Strong hydro/contamination/legacy infrastructure relevance.,"Find best CalGEM services for well locations/status, fields, leases, and permits; define compact layer set.",Batch 2
DRECP,DRECP / renewable energy zones / conservation designations,CEC / BLM / CDFW / USFWS / Data Basin,Renewable energy / desert / ROW / conservation,4.5,4,3.5,3.5,No/Maybe,Renewable Energy / Desert / ROW,A/B,,,,https://www.energy.ca.gov/programs-and-topics/programs/desert-renewable-energy-conservation-plan,https://drecp.databasin.org/,FeatureServer/download/Data Basin services TBD,Needs service/data-path audit,Polygon,"Very BLM-CA relevant for desert ROW, solar/wind/geothermal, washes, groundwater, and conservation.",Resolve authoritative layer package/service for DRECP BLM land-use plan designations and renewable energy areas.,Batch 2
BLM_RENEWABLE_PROJECTS,BLM CA renewable energy projects,BLM eGIS / GeoPlatform,Renewable energy / ROW / cumulative projects,4,4,3.5,3.5,No/Maybe,Renewable Energy / ROW,B,,,,https://gbp-blm-egis.hub.arcgis.com/,https://gbp-blm-egis.hub.arcgis.com/maps/9b663af4613847d7a3ec1c1a81a02c85,ArcGIS FeatureServer likely; endpoint TBD,Needs endpoint audit from hub item,Point/polygon,Useful for cumulative development context and BLM ROW work.,Open hub item metadata and locate exact data/service URL and fields.,Batch 2
BLM_RECREATION,BLM CA recreation sites / recreation areas / OHV,BLM California,Recreation / access / water-use impacts,3.5,4.5,4,4.5,No,BLM / Recreation / Access,B/C,https://gis.blm.gov/caarcgis/rest/services/Recreation/BLM_CA_RECS/FeatureServer,"0,1",https://gis.blm.gov/caarcgis/rest/services/Recreation/BLM_CA_RECS/FeatureServer/0 ; https://gis.blm.gov/caarcgis/rest/services/Recreation/BLM_CA_RECS/FeatureServer/1,https://www.blm.gov/visit,https://gis.blm.gov/caarcgis/rest/services/Recreation/BLM_CA_RECS/FeatureServer?f=pjson,ArcGIS FeatureServer,Known service lead,Point/polygon,"Useful near springs, water access, campgrounds, OHV, recreation areas, and visitor impacts.",Inspect fields/categories and choose a compact subset or category styling.,Batch 1
FRAP_VEG_FIRE,"CAL FIRE / FRAP vegetation, fuels, burn severity",CAL FIRE / FRAP,Fire / vegetation / watershed condition,3.5,4,3.5,3.5,No/Maybe,Fire / Watershed Condition,B/C,,,,https://hub-calfire-forestry.hub.arcgis.com/search?tags=frap,https://frap.fire.ca.gov/mapping/gis-data/,FeatureServer/raster/download TBD,Needs FRAP source audit,Raster/polygon,"Fuels, vegetation, and burn severity matter for watershed condition and post-fire hydrology.",Find authoritative FRAP services for vegetation/fuels/burn severity and choose non-duplicative BRIM layers.,Batch 2
SWPC_SPACE,"SWPC space-weather alerts, watches, warnings, K-index",NOAA / Space Weather Prediction Center,NOAA / infrastructure / communications,2.5,4,2,2.5,Yes/Maybe,NOAA Explore / Infrastructure Link,C/link,,,,https://www.swpc.noaa.gov/products/alerts-watches-and-warnings,https://www.swpc.noaa.gov/products/planetary-k-index,JSON/status pages/API TBD,Needs only light audit,Non-map/status,"Mostly link/status value, not a core BRIM map layer.",Check whether compact status link is worthwhile; otherwise defer.,Batch 3
SWPC_AURORA,SWPC aurora 30-minute forecast,NOAA / Space Weather Prediction Center,Space weather / novelty / broad awareness,2,3.5,2.5,2.5,Yes/Maybe,NOAA Explore,C/link,,,,https://www.swpc.noaa.gov/products/aurora-30-minute-forecast,https://services.swpc.noaa.gov/,Image/JSON/geospatial feed TBD,Low-priority audit,Raster/forecast image,Real geospatial forecast concept but mostly novelty for BRIM.,Defer unless adding compact NOAA explore bucket.,Batch 3
