"row_type","candidate_id","display_name","agency_or_provider","theme","external_group","external_group_order","external_subgroup","external_subgroup_order","primary_panel","recommended_patch_bucket","recommended_ui_tier","service_type","source_page","notes"
"current_catalog","","DWR Groundwater Sustainability Agencies","DWR / CNRA","Groundwater / SGMA","Water / groundwater / water quality",10,"Groundwater / SGMA",20,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Boundaries/i03_Groundwater_Sustainability_Agencies/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Groundwater Sustainability Plan Areas","DWR / CNRA","Groundwater / SGMA","Water / groundwater / water quality",10,"Groundwater / SGMA",20,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Boundaries/i03_Groundwater_Sustainability_Plan_Areas/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR SGMA 2019 Basin Prioritization","DWR / CNRA","Groundwater / SGMA","Water / groundwater / water quality",10,"Groundwater / SGMA",20,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_B118_SGMA_2019_Basin_Prioritization/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Delta Primary/Secondary Zones","DWR / CNRA","Delta / Bay-Delta","Water / groundwater / water quality",10,"Delta / Bay-Delta",30,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Boundaries/i03_Delta_PrimarySecondary_Zones/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Legal Delta Boundary","DWR / CNRA","Delta / Bay-Delta","Water / groundwater / water quality",10,"Delta / Bay-Delta",30,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Boundaries/i03_LegalDeltaBoundary/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Suisun Marsh Boundary","DWR / CNRA","Delta / Bay-Delta","Water / groundwater / water quality",10,"Delta / Bay-Delta",30,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Boundaries/i03_SuisunMarshBoundary/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Bulletin 118 Groundwater Basins","DWR / CNRA","Groundwater basins","Water / groundwater / water quality",10,"Groundwater basins",40,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_B118_CA_GroundwaterBasins/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Groundwater Stations — Enterprise Water Management","DWR / CNRA","Groundwater monitoring","Water / groundwater / water quality",10,"Groundwater monitoring",50,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_GroundwaterStations_EnterpriseWaterManagement/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Groundwater Stations — inspectable features","DWR / CNRA","Groundwater monitoring","Water / groundwater / water quality",10,"Groundwater monitoring",50,"external","already in catalog","","feature","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_GroundwaterStations_EnterpriseWaterManagement/FeatureServer/0","California DWR FeatureServer layer. Current-view loading is recommended for larger statewide layers."
"current_catalog","","DWR Continuous Monitoring Stations — Hydstra Period","DWR / CNRA","Water quality / monitoring","Water / groundwater / water quality",10,"Water quality / monitoring",60,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_Stations_Monitoring_Continuous_Hydstra_Period/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Discrete Grab Water Quality Stations","DWR / CNRA","Water quality / monitoring","Water / groundwater / water quality",10,"Water quality / monitoring",60,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_Stations_Discrete_Grab_Water_Quality/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR C2VSimFG Boundary","DWR / CNRA","Groundwater models / C2VSim","Water / groundwater / water quality",10,"Groundwater models / C2VSim",70,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_C2VSimFG_Boundary/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR C2VSimFG Elements","DWR / CNRA","Groundwater models / C2VSim","Water / groundwater / water quality",10,"Groundwater models / C2VSim",70,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_C2VSimFG_Elements/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR C2VSimFG Groundwater Head Observations","DWR / CNRA","Groundwater models / C2VSim","Water / groundwater / water quality",10,"Groundwater models / C2VSim",70,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/C2VSimFG_Groundwater_Head_Observations/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR C2VSimFG Nodes","DWR / CNRA","Groundwater models / C2VSim","Water / groundwater / water quality",10,"Groundwater models / C2VSim",70,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_C2VSimFG_Nodes/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR C2VSimFG Stream Observations","DWR / CNRA","Groundwater models / C2VSim","Water / groundwater / water quality",10,"Groundwater models / C2VSim",70,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/C2VSimFG_Stream_Observations/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR C2VSimFG Stream Reaches","DWR / CNRA","Groundwater models / C2VSim","Water / groundwater / water quality",10,"Groundwater models / C2VSim",70,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_C2VSimFG_Stream_Reaches/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR C2VSimFG Subregions","DWR / CNRA","Groundwater models / C2VSim","Water / groundwater / water quality",10,"Groundwater models / C2VSim",70,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_C2VSimFG_Subregions/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR C2VSimFG Subsidence Observations","DWR / CNRA","Groundwater models / C2VSim","Water / groundwater / water quality",10,"Groundwater models / C2VSim",70,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/C2VSimFG_Subsidence_Observations/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Well Completion Reports Index","DWR / CNRA","Wells / well completion reports","Water / groundwater / water quality",10,"Wells / well completion reports",80,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Environment/i07_WellCompletionReports/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Well Completion Reports Index — inspectable features","DWR / CNRA","Wells / well completion reports","Water / groundwater / water quality",10,"Wells / well completion reports",80,"external","already in catalog","","feature","https://gis.water.ca.gov/arcgis/rest/services/Environment/i07_WellCompletionReports/FeatureServer/0","California DWR FeatureServer layer. Current-view loading is recommended for larger statewide layers."
"current_catalog","","SWRCB Points of Diversion","SWRCB / Water Boards","Water rights / PODs","Water / groundwater / water quality",10,"Water rights / PODs",90,"external","already in catalog","","map","https://gispublic.waterboards.ca.gov/arcgis/rest/services/Water_Rights/Points_of_Diversion/MapServer?f=pjson","SWRCB Points of Diversion MapServer from WRIMS-derived locations. PT2 also has a local filtered POD/WR layer."
"current_catalog","","SWRCB Impaired Waters / Integrated Report","SWRCB / Water Boards","Water quality / impaired waters","Water / groundwater / water quality",10,"Water quality / impaired waters",100,"external","already in catalog","","map","https://gispublic.waterboards.ca.gov/arcgis/rest/services/Water_Quality/Impaired_waters/MapServer","Water bodies assessed and listed as impaired under Clean Water Act 303(d)/305(b)."
"current_catalog","","Water Boards 2026 Aquifer Risk Map — Water Quality Risk","SWRCB / Water Boards","Groundwater quality / drinking water","Water / groundwater / water quality",10,"Groundwater quality / drinking water",110,"external","already in catalog","","feature","https://gispublic.waterboards.ca.gov/portalserver/rest/services/Hosted/Water_Quality_Risk_2026_ARM/FeatureServer","Water quality risk estimates for domestic wells and state small water systems. Current-view loading is recommended."
"current_catalog","","Water Boards Drought Water Service Areas","SWRCB / Water Boards","Water service areas","Water / groundwater / water quality",10,"Water service areas",120,"external","already in catalog","","map","https://gispublic.waterboards.ca.gov/arcgis/rest/services/webmap/Service_GISPublic/MapServer","Drought water service area boundaries used in SaveWater.ca.gov context."
"current_catalog","","Live Stream Gages / Flow","Esri / USGS / NOAA","Streamflow / observed gages","Water / groundwater / water quality",10,"Streamflow / observed gages",130,"both","already in catalog","","feature","https://services9.arcgis.com/RHVPKKiFTONKtxq3/arcgis/rest/services/Live_Stream_Gauges_v1/FeatureServer/0","Near-real-time public stream-gage feed. Values depend on the source agency feed and may be stale or missing for some stations."
"current_catalog","","NWM Streamflow Analysis (cfs)","NOAA / NWS / OWP","Streamflow / modeled flow","Water / groundwater / water quality",10,"Streamflow / modeled flow",140,"external","already in catalog","","map","https://water.noaa.gov/about/nwm","Modeled National Water Model streamflow analysis layer. This is not an observed gage layer; use together with observed gages and local PT2 context."
"candidate_from_random_adds_audit","CA_GDE_NCCAG","California NCCAG / groundwater-dependent ecosystems / iGDE","California DWR","Groundwater / ecology / springs / wetlands","Water / groundwater / water quality",10,"GDE / groundwater ecology",900,"External","EL_003_first_low_risk_add_batch","A","MapServer","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_003_first_low_risk_add_batch"
"candidate_from_random_adds_audit","CPC_NLDAS_SOIL","CPC NLDAS Noah soil moisture percentiles","NOAA / CPC / Drought.gov","Soil moisture / drought","Water / groundwater / water quality",10,"Soil moisture",900,"External","EL_006_compact_explore_links","B","Other","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_006_compact_explore_links"
"candidate_from_random_adds_audit","CROP_CASMA","Crop-CASMA soil moisture anomaly","USDA NASS / NASA / Drought.gov","Soil moisture / ag drought / anomaly","Water / groundwater / water quality",10,"Soil moisture",900,"External","EL_006_compact_explore_links","B/C","API","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_006_compact_explore_links"
"candidate_from_random_adds_audit","SPORT_LIS","NASA SPoRT-LIS soil moisture percentiles","NASA SPoRT / Drought.gov","Soil moisture / drought / fire / watershed","Water / groundwater / water quality",10,"Soil moisture",900,"External first; consider Ops/both after QA","EL_006_compact_explore_links","A/B","Other","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_006_compact_explore_links"
"candidate_from_random_adds_audit","NWM_SOIL_MOISTURE","NOAA National Water Model Land Analysis near-surface soil moisture saturation","NOAA / NWS / Office of Water Prediction","Soil moisture / current wetness","Water / groundwater / water quality",10,"Soil moisture",900,"keep existing panel; audit External/Ops duplication","EL_004_existing_row_upgrades","A/B","MapServer","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_004_existing_row_upgrades"
"candidate_from_random_adds_audit","SMAP_GRACE","SMAP / GRACE broad soil moisture products","NASA / Drought.gov","Broad drought / remote sensing","Water / groundwater / water quality",10,"Soil moisture",900,"External","EL_006_compact_explore_links","C","API","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_006_compact_explore_links"
"candidate_from_random_adds_audit","IMPAIRED_WATERS","303(d) / 305(b) impaired waters / TMDL context","California State Water Resources Control Board","Water quality","Water / groundwater / water quality",10,"Water quality / impaired waters",900,"keep existing panel; audit External/Ops duplication","EL_004_existing_row_upgrades","A","MapServer","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_004_existing_row_upgrades"
"current_catalog","","DWR Local Maintenance Areas — Flood Protection","DWR / CNRA","Flood management","Water operations / flood / coastal",20,"Flood management",10,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Boundaries/i03_Local_Maintenance_Areas_Flood_Protection/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR SPFC Planning Area","DWR / CNRA","Flood management","Water operations / flood / coastal",20,"Flood management",10,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Boundaries/i03_SPFCPlanningArea_20100301/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Systemwide Planning Area","DWR / CNRA","Flood management","Water operations / flood / coastal",20,"Flood management",10,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Boundaries/i03_SystemwidePA_20101007/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Historic Levee Breaks","DWR / CNRA","Flood management / levees","Water operations / flood / coastal",20,"Flood management / levees",20,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/InlandWaters/i12_Levee_Breaks_Historic/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","FEMA NFHL Flood Hazard Zones","FEMA","Flood hazards","Water operations / flood / coastal",20,"Flood hazards",30,"external","already in catalog","","map","https://hazards.fema.gov/femaportal/wps/portal/NFHLWMS","Effective FEMA National Flood Hazard Layer flood hazard zones. Scale-dependent map layer."
"current_catalog","","CNRA CSMW Potential Sea-Level-Rise Impacts","DWR / CNRA","Sea level rise / coastal flooding","Water operations / flood / coastal",20,"Sea level rise / coastal flooding",40,"external","already in catalog","","map","https://gis.cnra.ca.gov/arcgis/rest/services/Ocean/CSMW_Potential_Sea_Level_Rise_Impacts/MapServer","Potential sea-level-rise impact layers for California coastal screening."
"current_catalog","","NOAA Potential Marsh Distribution — 6.5 ft","NOAA","Sea level rise / coastal flooding","Water operations / flood / coastal",20,"Sea level rise / coastal flooding",40,"external","already in catalog","","map","https://coast.noaa.gov/digitalcoast/tools/slr.html","NOAA Digital Coast sea-level-rise screening layer. Use as visual context near the coast."
"current_catalog","","NOAA Sea Level Rise Inundation — 1.5 ft","NOAA","Sea level rise / coastal flooding","Water operations / flood / coastal",20,"Sea level rise / coastal flooding",40,"external","already in catalog","","map","https://coast.noaa.gov/digitalcoast/tools/slr.html","NOAA Digital Coast sea-level-rise screening layer. Use as visual context near the coast."
"current_catalog","","NOAA Sea Level Rise Inundation — 2 ft","NOAA","Sea level rise / coastal flooding","Water operations / flood / coastal",20,"Sea level rise / coastal flooding",40,"external","already in catalog","","map","https://coast.noaa.gov/digitalcoast/tools/slr.html","NOAA Digital Coast sea-level-rise screening layer. Use as visual context near the coast."
"current_catalog","","NOAA Sea Level Rise Inundation — 3 ft","NOAA","Sea level rise / coastal flooding","Water operations / flood / coastal",20,"Sea level rise / coastal flooding",40,"external","already in catalog","","map","https://coast.noaa.gov/digitalcoast/tools/slr.html","NOAA Digital Coast sea-level-rise screening layer. Use as visual context near the coast."
"current_catalog","","NOAA Sea Level Rise Inundation — 6 ft","NOAA","Sea level rise / coastal flooding","Water operations / flood / coastal",20,"Sea level rise / coastal flooding",40,"external","already in catalog","","map","https://coast.noaa.gov/digitalcoast/tools/slr.html","NOAA Digital Coast sea-level-rise screening layer. Use as visual context near the coast."
"current_catalog","","DWR Water Shortage Social Vulnerability — Block Groups","DWR / CNRA","Drought / water shortage vulnerability","Weather / snow / drought",30,"Drought / water shortage vulnerability",10,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Environment/i07_Water_Shortage_Social_Vulnerability_BlockGroups/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Water Shortage Vulnerability — Sections","DWR / CNRA","Drought / water shortage vulnerability","Weather / snow / drought",30,"Drought / water shortage vulnerability",10,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Environment/i07_Water_Shortage_Vulnerability_Sections/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Water Shortage Vulnerability — Small Water Systems","DWR / CNRA","Drought / water shortage vulnerability","Weather / snow / drought",30,"Drought / water shortage vulnerability",10,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Environment/i07_Water_Shortage_Vulnerability_Small_Water_Systems/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","NWS WFOs","NOAA / NWS","Weather operations / WFOs","Weather / snow / drought",30,"Weather operations / WFOs",20,"ops_live","already in catalog","","feature","https://www.weather.gov/gis/CWABounds","NOAA/NWS County Warning Area polygons. These are the WFO forecast/warning responsibility areas, not just office point locations."
"current_catalog","","U.S. Drought Monitor (current)","NOAA / NWS / NDMC / USDA","Climate monitoring / drought","Weather / snow / drought",30,"Climate monitoring / drought",30,"ops_live","already in catalog","","feature","https://droughtmonitor.unl.edu/","Current U.S. Drought Monitor polygons, locally styled by official D0-D4 drought categories."
"current_catalog","","CPC 6-10 Day Precipitation Outlook","NOAA / NWS / CPC","Climate outlooks / CPC","Weather / snow / drought",30,"Climate outlooks / CPC",40,"ops_live","already in catalog","","map","https://www.cpc.ncep.noaa.gov/products/predictions/610day/index.php","CPC probabilistic 6-10 day precipitation outlook loaded as local current-view polygons for stable hover/popup behavior. Colors are PT2-local approximations of CPC category/probability classes."
"current_catalog","","CPC 6-10 Day Temperature Outlook","NOAA / NWS / CPC","Climate outlooks / CPC","Weather / snow / drought",30,"Climate outlooks / CPC",40,"ops_live","already in catalog","","map","https://www.cpc.ncep.noaa.gov/products/predictions/610day/index.php","CPC probabilistic 6-10 day temperature outlook loaded as local current-view polygons for stable hover/popup behavior. Colors are PT2-local approximations of CPC category/probability classes."
"current_catalog","","CPC 8-14 Day Precipitation Outlook","NOAA / NWS / CPC","Climate outlooks / CPC","Weather / snow / drought",30,"Climate outlooks / CPC",40,"ops_live","already in catalog","","map","https://www.cpc.ncep.noaa.gov/products/predictions/814day/index.php","CPC probabilistic 8-14 day precipitation outlook loaded as local current-view polygons for stable hover/popup behavior. Colors are PT2-local approximations of CPC category/probability classes."
"current_catalog","","CPC 8-14 Day Temperature Outlook","NOAA / NWS / CPC","Climate outlooks / CPC","Weather / snow / drought",30,"Climate outlooks / CPC",40,"ops_live","already in catalog","","map","https://www.cpc.ncep.noaa.gov/products/predictions/814day/index.php","CPC probabilistic 8-14 day temperature outlook loaded as local current-view polygons for stable hover/popup behavior. Colors are PT2-local approximations of CPC category/probability classes."
"candidate_from_random_adds_audit","CPC_MONTH_SEASON","CPC monthly / seasonal outlooks","NOAA / NWS / CPC","Climate outlook","Weather / snow / drought",30,"Climate outlook",900,"External compact/explore","EL_005_endpoint_discovery_or_defer","C","Other","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_005_endpoint_discovery_or_defer"
"candidate_from_random_adds_audit","CPC_WEEK34","CPC Week 3–4 outlooks","NOAA / NWS / CPC","Climate outlook","Weather / snow / drought",30,"Climate outlook",900,"External compact/explore","EL_005_endpoint_discovery_or_defer","B/C","Other","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_005_endpoint_discovery_or_defer"
"candidate_from_random_adds_audit","FRAP_VEG_FIRE","CAL FIRE / FRAP vegetation, fuels, burn severity","CAL FIRE / FRAP","Fire / vegetation / watershed condition","Weather / snow / drought",30,"Drought / vegetation",900,"External first; consider Ops/both after QA","EL_005_second_wave_service_layers","B/C","FeatureServer","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_005_second_wave_service_layers"
"candidate_from_random_adds_audit","NASA_GIBS_NDVI","NASA GIBS MODIS/VIIRS NDVI-style imagery","NASA EOSDIS GIBS","Satellite / vegetation imagery","Weather / snow / drought",30,"Drought / vegetation",900,"External","EL_006_compact_explore_links","C","WMTS","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_006_compact_explore_links"
"candidate_from_random_adds_audit","NOAA_STAR_NDVI","NOAA STAR NDVI / greenness products","NOAA STAR / Drought.gov","Raw greenness / vegetation context","Weather / snow / drought",30,"Drought / vegetation",900,"External","EL_006_compact_explore_links","C/B","Other","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_006_compact_explore_links"
"candidate_from_random_adds_audit","NOAA_STAR_VHI","NOAA STAR VHI / VCI / TCI vegetation health","NOAA STAR / Drought.gov","Vegetation stress / drought / fire risk","Weather / snow / drought",30,"Drought / vegetation",900,"External first; consider Ops/both after QA","EL_006_compact_explore_links","B","Other","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_006_compact_explore_links"
"candidate_from_random_adds_audit","QUICKDRI","QuickDRI","NDMC / Drought.gov","Flash drought / recent drydown","Weather / snow / drought",30,"Drought / vegetation",900,"External","EL_006_compact_explore_links","A/B","Other","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_006_compact_explore_links"
"candidate_from_random_adds_audit","VEGDRI","VegDRI","NDMC / Drought.gov","Vegetation drought stress / rangeland","Weather / snow / drought",30,"Drought / vegetation",900,"External","EL_006_compact_explore_links","A/B","Other","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_006_compact_explore_links"
"candidate_from_random_adds_audit","CPC_HAZARDS","CPC Day 8–14 hazards / rapid-onset drought / week-2 hazards","NOAA / NWS / CPC","Climate hazards / drought / heat / wind","Weather / snow / drought",30,"Hazards / week-2 outlooks",900,"External first; consider Ops/both after QA","EL_006_compact_explore_links","B","Other","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_006_compact_explore_links"
"candidate_from_random_adds_audit","NOHRSC_SNOW","NOHRSC snow analysis — snow depth and SWE","NOAA / NWS / NOHRSC","Snow / water supply","Weather / snow / drought",30,"Snow analysis",900,"External first; consider Ops/both after QA","EL_003_first_low_risk_add_batch","A","MapServer","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_003_first_low_risk_add_batch"
"candidate_from_random_adds_audit","BETTER_WIND_OBS","Better wind — NOAA surface observations / MADIS wind barbs","NOAA / NWS / MADIS","Wind observations","Weather / snow / drought",30,"Wind",900,"External","EL_003_or_EL_004_after_review","A","MapServer","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_003_or_EL_004_after_review"
"candidate_from_random_adds_audit","NDFD_WIND","NDFD / gridded forecast wind","NOAA / NWS / NDFD","Wind forecast","Weather / snow / drought",30,"Wind",900,"External first; consider Ops/both after QA","EL_006_compact_explore_links","A/B","WMS","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_006_compact_explore_links"
"candidate_from_random_adds_audit","WPC_WSSI","WPC Winter Storm Severity Index","NOAA / NWS / WPC","Snow impacts / winter forecast","Weather / snow / drought",30,"Winter weather",900,"External first; consider Ops/both after QA","EL_005_second_wave_service_layers","B","MapServer","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Audit candidate; EL_005_second_wave_service_layers"
"current_catalog","","ALERTCalifornia Camera Viewsheds","ALERTCalifornia / UC San Diego","Fire / cameras","Fire / hazards / emergency",40,"Fire / cameras",10,"both","already in catalog","","feature","https://alertcalifornia.org/","Source-provided camera viewshed polygons. Use with ALERTCalifornia Cameras to interpret what each camera may see."
"current_catalog","","ALERTCalifornia Cameras","ALERTCalifornia / UC San Diego","Fire / cameras","Fire / hazards / emergency",40,"Fire / cameras",10,"both","already in catalog","","feature","https://alertcalifornia.org/","Live ALERTCalifornia camera locations. Direction arrows use the source pan/heading field when available; online/offline status comes from the source service."
"current_catalog","","CAL FIRE Fire Perimeters — All","CAL FIRE / FRAP","Fire / burn scars","Fire / hazards / emergency",40,"Fire / burn scars",20,"external","already in catalog","","feature","https://www.fire.ca.gov/what-we-do/fire-resource-assessment-program/fire-perimeters","Full California historical fire perimeter layer from CAL FIRE FRAP, covering fires back to 1878 where mapped/available."
