"agency","program","theme","external_group","external_group_order","external_subgroup","external_subgroup_order","external_layer_id","display_name","primary_panel","service_type","service_url","supports_popups","default_clickable","default_opacity","notes","source_page","geographic_scope","pt2_usage_note","priority","default_load_mode","where_clause","large_layer_warning","min_zoom_live","min_zoom_current_view","legend_url","legend_note","popup_fields","popup_aliases","popup_link_template","popup_link_label","identify_url","hover_fields","hover_aliases","hover_bold_fields","hover_no_label_fields","hover_round_fields","hover_show_native_field_names","default_label_field","out_fields","best_use","useful_for_visualization","style_field_candidates","default_style_field","default_style_method","style_units","style_legend_title","style_direction","field_curation_notes","show_native_field_names","load_badge","load_badge_override","load_score","load_score_override","load_note","load_audit_basis","load_n_tests","load_success_rate","load_median_seconds","load_p90_seconds","load_max_seconds","load_feature_cap_rate"
"BLM California","DRECP ROD","DRECP","Desert Planning",30,"DRECP",10,"EXT132","DRECP National Conservation Lands","external","feature","https://services1.arcgis.com/KbxwQRRfWyEYLgp4/arcgis/rest/services/BLM_CA_DRECP_ROD/FeatureServer/1","True","True",0.45,"BLM California DRECP Record of Decision layer. Planning/designation context; verify against official ROD/LUPA and local files for project decisions.","https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan","California desert / DRECP area","Screening context for desert renewable-energy/planning constraints and opportunities.","B","current_view","","DRECP polygon layer; load at project/local scale for best performance.",,6,"","","Name;GIS_Acres;NCL_Name","Name;Acres;NCL name","","","","Name;GIS_Acres","Name;Acres","Name","","","","","*","DRECP planning/designation screening.","yes","Name;Type;Designation;Development_DSG;Technology","","","","DRECP planning layer","","Field names vary by DRECP sublayer; QA popups and hover after first build.","","yellow","",2,,"Audited load: moderate (10/10 tests loaded; median 0.16 sec; p90 0.98 sec; max features 11).","BRIM load audit 2026-07",10,1,0.164481997489929,0.979073810577393,1.05105400085449,0
"BLM California","DRECP ROD","DRECP","Desert Planning",30,"DRECP",10,"EXT134","DRECP general public lands","external","feature","https://services1.arcgis.com/KbxwQRRfWyEYLgp4/arcgis/rest/services/BLM_CA_DRECP_ROD/FeatureServer/3","True","True",0.45,"BLM California DRECP Record of Decision layer. Planning/designation context; verify against official ROD/LUPA and local files for project decisions.","https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan","California desert / DRECP area","Screening context for desert renewable-energy/planning constraints and opportunities.","B","current_view","","DRECP polygon layer; load at project/local scale for best performance.",,6,"","","Name;GIS_Acres;Designation","Name;Acres;Designation","","","","Name;GIS_Acres;Designation","Name;Acres;Designation","Name","","","","","*","DRECP planning/designation screening.","yes","Name;Type;Designation;Development_DSG;Technology","","","","DRECP planning layer","","Field names vary by DRECP sublayer; QA popups and hover after first build.","","yellow","",2,,"Audited load: moderate (10/10 tests loaded; median 1.38 sec; p90 1.54 sec; max features 1).","BRIM load audit 2026-07",10,1,1.38110995292664,1.54497382640839,1.81919407844543,0
"BLM California","DRECP ROD","DRECP","Desert Planning",30,"DRECP",10,"EXT135","DRECP recreation management areas","external","feature","https://services1.arcgis.com/KbxwQRRfWyEYLgp4/arcgis/rest/services/BLM_CA_DRECP_ROD/FeatureServer/4","True","True",0.45,"BLM California DRECP Record of Decision layer. Planning/designation context; verify against official ROD/LUPA and local files for project decisions.","https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan","California desert / DRECP area","Screening context for desert renewable-energy/planning constraints and opportunities.","B","current_view","","DRECP polygon layer; load at project/local scale for best performance.",,6,"","","Name;Type;GIS_Acres","Name;Type;Acres","","","","Name;Type;GIS_Acres","Name;Type;Acres","Name","","","","","*","DRECP planning/designation screening.","yes","Name;Type;Designation;Development_DSG;Technology","","","","DRECP planning layer","","Field names vary by DRECP sublayer; QA popups and hover after first build.","","green","",1,,"Audited load: fast (10/10 tests loaded; median 0.21 sec; p90 1.03 sec; max features 44).","BRIM load audit 2026-07",10,1,0.210453033447266,1.02911086082458,1.21835207939148,0
"BLM California","DRECP ROD","DRECP","Desert Planning",30,"DRECP",10,"EXT136","DRECP wildlife allocation polygons","external","feature","https://services1.arcgis.com/KbxwQRRfWyEYLgp4/arcgis/rest/services/BLM_CA_DRECP_ROD/FeatureServer/5","True","True",0.45,"BLM California DRECP Record of Decision layer. Planning/designation context; verify against official ROD/LUPA and local files for project decisions.","https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan","California desert / DRECP area","Screening context for desert renewable-energy/planning constraints and opportunities.","B","current_view","","DRECP polygon layer; load at project/local scale for best performance.",,6,"","","Name;Allocation;GIS_Acres","Name;Allocation;Acres","","","","Name;Allocation;GIS_Acres","Name;Allocation;Acres","Name","","","","","*","DRECP planning/designation screening.","yes","Name;Type;Designation;Development_DSG;Technology","","","","DRECP planning layer","","Field names vary by DRECP sublayer; QA popups and hover after first build.","","green","",1,,"Audited load: fast (10/10 tests loaded; median 0.15 sec; p90 0.19 sec; max features 2).","BRIM load audit 2026-07",10,1,0.152765512466431,0.190407276153564,0.248064041137695,0
"BLM AIM","AIM","BLM","Ecology / Habitat / Species",40,"BLM",10,"EXT097","BLM AIM LMF Hub","external","feature","https://services1.arcgis.com/KbxwQRRfWyEYLgp4/arcgis/rest/services/BLM_Natl_AIM_LMF_Hub/FeatureServer/0","True","True",0.75,"BLM Assessment, Inventory, and Monitoring (AIM) public FeatureServer. Current-view loading is recommended.","https://gbp-blm-egis.hub.arcgis.com/pages/aim","","","400","current_view","","Large national BLM AIM FeatureServer. Zoom in first and use current-view loading for better performance.",9,9,"","","","","","","","","","","","","","","","","","","","","","","","","","red","",4,,"Audited load: heavy (10/10 tests loaded; median 0.56 sec; p90 1.44 sec; max features 2000; cap rate 20%).","BRIM load audit 2026-07",10,1,0.55620551109314,1.43901159763336,1.51940512657166,0.2
"BLM AIM","AIM","BLM","Ecology / Habitat / Species",40,"BLM",10,"EXT098","BLM AIM Lotic Indicators","external","feature","https://services1.arcgis.com/KbxwQRRfWyEYLgp4/arcgis/rest/services/BLM_Natl_AIM_Lotic_Indicators_Hub/FeatureServer/5","True","True",0.75,"BLM Assessment, Inventory, and Monitoring (AIM) public FeatureServer. Current-view loading is recommended.","https://gbp-blm-egis.hub.arcgis.com/pages/aim","","","401","current_view","","Large national BLM AIM FeatureServer. Zoom in first and use current-view loading for better performance.",9,9,"","","","","","","","","","","","","","","","","","","","","","","","","","yellow","",2,,"Audited load: moderate (10/10 tests loaded; median 0.18 sec; p90 0.97 sec; max features 1375).","BRIM load audit 2026-07",10,1,0.17983603477478,0.97172839641571,1.60672807693481,0
"BLM AIM","AIM","BLM","Ecology / Habitat / Species",40,"BLM",10,"EXT099","BLM AIM TerrADat","external","feature","https://services1.arcgis.com/KbxwQRRfWyEYLgp4/arcgis/rest/services/BLM_Natl_AIM_TerrADat_Hub/FeatureServer/0","True","True",0.75,"BLM Assessment, Inventory, and Monitoring (AIM) public FeatureServer. Current-view loading is recommended.","https://gbp-blm-egis.hub.arcgis.com/pages/aim","","","402","current_view","","Large national BLM AIM FeatureServer. Zoom in first and use current-view loading for better performance.",9,9,"","","","","","","","","","","","","","","","","","","","","","","","","","red","",4,,"Audited load: heavy (10/10 tests loaded; median 0.73 sec; p90 1.23 sec; max features 2000; cap rate 20%).","BRIM load audit 2026-07",10,1,0.73015308380127,1.23429543972015,1.35348701477051,0.2
"BLM AIM","AIM","BLM","Ecology / Habitat / Species",40,"BLM",10,"EXT100","BLM AIM Terrestrial Species Indicators","external","feature","https://services1.arcgis.com/KbxwQRRfWyEYLgp4/arcgis/rest/services/BLM_Natl_AIM_Terrestrial_Species_Indicators_Public/FeatureServer/6","True","True",0.75,"BLM Assessment, Inventory, and Monitoring (AIM) public FeatureServer. Current-view loading is recommended.","https://gbp-blm-egis.hub.arcgis.com/pages/aim","","","403","current_view","","Large national BLM AIM FeatureServer. Zoom in first and use current-view loading for better performance.",9,9,"","","","","","","","","","","","","","","","","","","","","","","","","","red","",4,,"Audited load: heavy (10/10 tests loaded; median 0.53 sec; p90 2.85 sec; max features 2000; cap rate 80%).","BRIM load audit 2026-07",10,1,0.528217554092407,2.85331718921661,3.1380341053009,0.8
"Cal-IPC / CDFW BIOS","CalWeedMapper / BIOS","Invasive vegetation","Ecology / Habitat / Species",40,"Invasive vegetation",10,"CALIPC_INVASIVE_SPECIES_BY_QUAD","Invasive plants | Cal-IPC species count by quad","external","feature","https://services2.arcgis.com/Uq9r85Potqm3MfRV/ArcGIS/rest/services/biosds1121_fpu/FeatureServer/0","True","True",0.45,"Cal-IPC invasive plant species distribution summarized by USGS 7.5-minute quad.","https://filelib.wildlife.ca.gov/public/BDB/GIS/BIOS/metadata/DS1121.html","California","Screening/reference overlay; verify source details before reporting.","60","current_view","","",,7,"","BRIM ramp: lower species counts green, higher species counts red. Source data are qualitative landscape-level Cal-IPC/BIOS quad summaries.","QUAD_NAME;QUAD_ID;COUNT_SPECIES","Quad;Quad ID;Invasive species count","","","","QUAD_NAME;COUNT_SPECIES","Quad;Species count","","","","False","","","","","","COUNT_SPECIES","calipc_species_count","","Cal-IPC invasive species count by quad","low_high","","False","red","",4,,"Audited load: heavy (10/10 tests loaded; median 0.19 sec; p90 0.55 sec; max features 2000; cap rate 20%).","BRIM load audit 2026-07",10,1,0.192862987518311,0.551223587989807,0.851505041122437,0.2
"Cal-IPC / CDFW BIOS","CalWeedMapper / BIOS","Invasive vegetation","Ecology / Habitat / Species",40,"Invasive vegetation",10,"CALIPC_TERRESTRIAL_INVASION_BY_QUAD","Invasive plants | Cal-IPC terrestrial invasion level","external","feature","https://services2.arcgis.com/Uq9r85Potqm3MfRV/arcgis/rest/services/biosds2810_fpu/FeatureServer/0","True","True",0.45,"Cal-IPC terrestrial invasive plant threat/level summarized by USGS 7.5-minute quad.","https://filelib.wildlife.ca.gov/public/BDB/GIS/BIOS/metadata/DS2810.html","California","Screening/reference overlay; verify source details before reporting.","65","current_view","","",,7,"","BRIM ramp: lower invasion-threat values are pale/green; higher values are red. Values are source Cal-IPC/BIOS quad-index attributes.","QUAD_NAME;QUAD_ID;Invasive_Threat","Quad;Quad ID;Invasion threat index","","","","QUAD_NAME;Invasive_Threat","Quad;Invasion threat","","","","False","","","","","","Invasive_Threat","calipc_invasive_threat","","Cal-IPC terrestrial invasion level","low_high","","False","red","",4,,"Audited load: heavy (10/10 tests loaded; median 0.22 sec; p90 0.55 sec; max features 2000; cap rate 20%).","BRIM load audit 2026-07",10,1,0.224620461463928,0.551574969291687,0.813393115997314,0.2
"CDFW / Reclamation","CVPIA Refuge Water Supply Program","refuges; wetlands; water deliveries; habitat","Ecology / Habitat / Species",40,"Refuges / wetland habitat",15,"CVPIA_WETLAND_HABITAT_REFUGES","CVPIA wetland habitat area refuges | CDFW / Reclamation","external","feature","https://services2.arcgis.com/Uq9r85Potqm3MfRV/ArcGIS/rest/services/biosds2636_fpu/FeatureServer/0","TRUE","TRUE",0.42,"Central Valley Project Improvement Act wetland habitat area refuge boundaries where refuge water supplies can be used. BRIM adds as current-view screening layer under Ecology / Habitat / Species, not GW/SW.","https://catalog.data.gov/dataset/wetland-habitat-area-refuges-central-valley-project-improvement-act-ds2636","California Central Valley","","210","current_view","","CVPIA refuge boundary layer is small, but still loaded as current-view features for consistency.",,7,"","BRIM one-symbol refuge/wetland habitat overlay. Source layer uses a transparent yellow/orange refuge boundary style.","Name,Unit_Name,Manager,GIS_Acres,Level2_WaterSupply,IL4_WaterSupply","Name,Unit name,Manager,GIS acres,Level 2 water supply,Incremental Level 4 water supply","https://catalog.data.gov/dataset/wetland-habitat-area-refuges-central-valley-project-improvement-act-ds2636||https://www.usbr.gov/mp/cvpia/","Open CDFW/CNRA metadata||Open Reclamation CVPIA page","","Name,Unit_Name,Manager,Level2_WaterSupply,IL4_WaterSupply","Name,Unit,Manager,L2 supply,IL4 supply","Name","","","","","OBJECTID,Name,Unit_Name,Manager,GIS_Acres,Level2_WaterSupply,IL4_WaterSupply","Screening CVPIA wetland habitat area refuges and refuge-water context near projects, water deliveries, and habitat reviews.","TRUE","","","","","CVPIA wetland habitat area refuges","","Confirmed REST fields: Name, Unit_Name, Level2_WaterSupply, IL4_WaterSupply, GIS_Acres, Manager.","","green","green",1,1,"Small CVPIA refuge boundary layer; current-view should be quick.","",,,,,,
"CDFW / Reclamation","CVPIA Refuge Water Supply Program","refuges; delivery points; water infrastructure; habitat","Ecology / Habitat / Species",40,"Refuges / wetland habitat",15,"CVPIA_REFUGE_DELIVERY_POINTS","CVPIA refuge delivery points | CDFW / Reclamation","external","feature","https://services2.arcgis.com/Uq9r85Potqm3MfRV/arcgis/rest/services/biosds2638_fmu/FeatureServer/0","TRUE","TRUE",0.85,"Delivery points used to complete CVPIA refuge water deliveries to wetland habitat areas. Type field distinguishes Gravity and Lift delivery points in the source renderer.","https://catalog.data.gov/dataset/refuge-delivery-points-central-valley-project-improvement-act-ds2638","California Central Valley","","211","current_view","","CVPIA delivery-point layer is small, but still loaded as current-view features for consistency.",,7,"","BRIM categorical point style by Type. Source categories confirm Gravity and Lift.","Refuge_Name,Delivery_Point,Type","Refuge,Delivery point,Delivery type","https://catalog.data.gov/dataset/refuge-delivery-points-central-valley-project-improvement-act-ds2638||https://www.usbr.gov/mp/cvpia/","Open CDFW/CNRA metadata||Open Reclamation CVPIA page","","Refuge_Name,Delivery_Point,Type","Refuge,Delivery point,Type","Refuge_Name","","","","","OBJECTID,Refuge_Name,Delivery_Point,Type","Screening where CVPIA refuge water deliveries enter wetland habitat areas; useful companion to CVPIA refuge polygons.","TRUE","Type","Type","categorical","","CVPIA delivery point type","","Confirmed REST fields: Refuge_Name, Delivery_Point, Type. Source renderer categories: Gravity and Lift.","","green","green",1,1,"Small point layer; current-view should be quick.","",,,,,,
"USFWS","National Wildlife Refuge System","refuges; FWS administered lands; habitat; land status","Ecology / Habitat / Species",40,"Refuges / wetland habitat",15,"USFWS_NWR_BOUNDARIES","National wildlife refuges / FWS administered lands | USFWS","external","feature","https://services.arcgis.com/QVENGdaPbd4LUkLV/arcgis/rest/services/National_Wildlife_Refuge_System_Boundaries/FeatureServer/0","TRUE","TRUE",0.38,"Simplified USFWS administered-land boundaries from the National Wildlife Refuge System real-estate interest data. Not all areas are open to the public; use source for legal/public-access details.","https://gis-fws.opendata.arcgis.com/datasets/fws::national-wildlife-refuge-system-boundaries/about","National","","212","current_view","","National USFWS administered-lands polygon layer. Zoom in and use current-view loading; boundaries are resource-grade/generalized, not legal descriptions.",,8,"","BRIM one-symbol FWS administered lands/refuge boundary overlay. Source notes boundaries are simplified/resource-grade.","ORGNAME","FWS unit / organization","https://gis-fws.opendata.arcgis.com/datasets/fws::national-wildlife-refuge-system-boundaries/about","Open USFWS source page","","ORGNAME","FWS unit / organization","ORGNAME","","","","","OBJECTID,ORGNAME","Screening FWS refuge/administered-land context near projects. Use source/realty office for legal descriptions or public access.","TRUE","","","","","USFWS administered lands / refuges","","Confirmed display field: ORGNAME. Kept popup field minimal to avoid relying on unconfirmed optional fields.","","red","red",5,5,"Large national polygon layer; current-view and zoom guidance required.","",,,,,,
"CDFW","ACE / BIOS","CDFW","Ecology / Habitat / Species",40,"CDFW",20,"EXT081","CDFW ACE Statewide Terrestrial Biodiversity Summary","external","feature","https://services2.arcgis.com/Uq9r85Potqm3MfRV/arcgis/rest/services/biosds1331_fpu/FeatureServer/0","True","True",0.55,"CDFW Areas of Conservation Emphasis (ACE) FeatureServer. Current-view loading is recommended for these statewide layers.","https://services2.arcgis.com/Uq9r85Potqm3MfRV/arcgis/rest/services/biosds1331_fpu/FeatureServer/0","","","300","current_view","","Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.",9,9,"","","","","","","","","","","","","","","","","","","","","","","","","","red","",4,,"Audited load: heavy (10/10 tests loaded; median 0.46 sec; p90 1.29 sec; max features 2000; cap rate 80%).","BRIM load audit 2026-07",10,1,0.458864450454712,1.28550596237183,1.73700714111328,0.8
"CDFW","ACE / BIOS","CDFW","Ecology / Habitat / Species",40,"CDFW",20,"EXT082","CDFW ACE Species Biodiversity","external","feature","https://services2.arcgis.com/Uq9r85Potqm3MfRV/arcgis/rest/services/biosds2769_fpu/FeatureServer/0","True","True",0.55,"CDFW Areas of Conservation Emphasis (ACE) FeatureServer. Current-view loading is recommended for these statewide layers.","https://services2.arcgis.com/Uq9r85Potqm3MfRV/arcgis/rest/services/biosds2769_fpu/FeatureServer/0","","","301","current_view","","Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.",9,9,"","","","","","","","","","","","","","","","","","","","","","","","","","red","",4,,"Audited load: heavy (10/10 tests loaded; median 0.96 sec; p90 2.51 sec; max features 2000; cap rate 80%).","BRIM load audit 2026-07",10,1,0.964350461959839,2.50626964569092,2.8067409992218,0.8
"CDFW","ACE / BIOS","CDFW","Ecology / Habitat / Species",40,"CDFW",20,"EXT083","CDFW ACE Terrestrial Rare Species Richness","external","feature","https://services2.arcgis.com/Uq9r85Potqm3MfRV/arcgis/rest/services/biosds1333_fpu/FeatureServer/0","True","True",0.55,"CDFW Areas of Conservation Emphasis (ACE) FeatureServer. Current-view loading is recommended for these statewide layers.","https://services2.arcgis.com/Uq9r85Potqm3MfRV/arcgis/rest/services/biosds1333_fpu/FeatureServer/0","","","302","current_view","","Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.",9,9,"","","","","","","","","","","","","","","","","","","","","","","","","","red","",4,,"Audited load: heavy (10/10 tests loaded; median 0.37 sec; p90 1.36 sec; max features 2000; cap rate 80%).","BRIM load audit 2026-07",10,1,0.372172117233276,1.36026012897491,1.59563899040222,0.8
"CDFW","ACE / BIOS","CDFW","Ecology / Habitat / Species",40,"CDFW",20,"EXT084","CDFW ACE Terrestrial Irreplaceability Summary","external","feature","https://services2.arcgis.com/Uq9r85Potqm3MfRV/arcgis/rest/services/biosds1334_fpu/FeatureServer/0","True","True",0.55,"CDFW Areas of Conservation Emphasis (ACE) FeatureServer. Current-view loading is recommended for these statewide layers.","https://services2.arcgis.com/Uq9r85Potqm3MfRV/arcgis/rest/services/biosds1334_fpu/FeatureServer/0","","","303","current_view","","Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.",9,9,"","","","","","","","","","","","","","","","","","","","","","","","","","red","",4,,"Audited load: heavy (10/10 tests loaded; median 0.36 sec; p90 0.99 sec; max features 2000; cap rate 80%).","BRIM load audit 2026-07",10,1,0.355309128761292,0.993775296211242,1.73071479797363,0.8
"CDFW","ACE / BIOS","CDFW","Ecology / Habitat / Species",40,"CDFW",20,"EXT085","CDFW ACE Aquatic Native Species Richness Summary","external","feature","https://services2.arcgis.com/Uq9r85Potqm3MfRV/arcgis/rest/services/biosds2743_fpu/FeatureServer/0","True","True",0.55,"CDFW Areas of Conservation Emphasis (ACE) FeatureServer. Current-view loading is recommended for these statewide layers.","https://services2.arcgis.com/Uq9r85Potqm3MfRV/arcgis/rest/services/biosds2743_fpu/FeatureServer/0","","","304","current_view","","Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.",9,9,"","","","","","","","","","","","","","","","","","","","","","","","","","red","",4,,"Audited load: heavy (7/10 tests loaded; median 8.57 sec; p90 9.15 sec; max features 1144).","BRIM load audit 2026-07",10,0.7,8.56794810295105,9.14526844024658,9.2435610294342,0
"CDFW","ACE / BIOS","CDFW","Ecology / Habitat / Species",40,"CDFW",20,"EXT086","CDFW ACE Aquatic Native Amphibian Richness","external","feature","https://services2.arcgis.com/Uq9r85Potqm3MfRV/arcgis/rest/services/biosds2746_fpu/FeatureServer/0","True","True",0.55,"CDFW Areas of Conservation Emphasis (ACE) FeatureServer. Current-view loading is recommended for these statewide layers.","https://services2.arcgis.com/Uq9r85Potqm3MfRV/arcgis/rest/services/biosds2746_fpu/FeatureServer/0","","","305","current_view","","Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.",9,9,"","","","","","","","","","","","","","","","","","","","","","","","","","red","",4,,"Audited load: heavy (6/10 tests loaded; median 7.19 sec; p90 10.27 sec; max features 1122).","BRIM load audit 2026-07",10,0.6,7.19266486167908,10.2713174819946,12.1981699466705,0
"CDFW","ACE / BIOS","CDFW","Ecology / Habitat / Species",40,"CDFW",20,"EXT087","CDFW ACE Aquatic Amphibian Irreplaceability","external","feature","https://services2.arcgis.com/Uq9r85Potqm3MfRV/arcgis/rest/services/biosds2754_fpu/FeatureServer/0","True","True",0.55,"CDFW Areas of Conservation Emphasis (ACE) FeatureServer. Current-view loading is recommended for these statewide layers.","https://services2.arcgis.com/Uq9r85Potqm3MfRV/arcgis/rest/services/biosds2754_fpu/FeatureServer/0","","","306","current_view","","Large statewide CDFW ACE FeatureServer. Zoom in first and use current-view loading for better performance.",9,9,"","","","","","","","","","","","","","","","","","","","","","","","","","red","",4,,"Audited load: heavy (8/10 tests loaded; median 3.34 sec; p90 7.66 sec; max features 673).","BRIM load audit 2026-07",10,0.8,3.33926212787628,7.66310830116272,12.8337800502777,0
